Time,Temperature,PV power,Solar radiation,Wind power,Wind speed
19-06-2022 18:00,11.34,0,82.0,0,5.76
19-06-2022 19:00,11.43,0,39.0,0,4.13
19-06-2022 20:00,11.47,0,15.0,0,3.08
19-06-2022 21:00,11.34,0,0.0,0,2.86
19-06-2022 22:00,11.4,0,0.0,0,1.62
19-06-2022 23:00,11.36,0,0.0,0,0.48
20-06-2022 00:00,11.25,0,0.0,0,1.03
20-06-2022 01:00,11.16,0,0.0,0,1.56
20-06-2022 02:00,11.21,0,0.0,0,1.8
20-06-2022 03:00,11.47,0,0.0,0,2.57
20-06-2022 04:00,11.87,0,0.0,0,2.69
20-06-2022 05:00,12.22,0,0.0,0,3.22
20-06-2022 06:00,12.3,0,25.0,0,2.99
20-06-2022 07:00,12.61,0,67.0,0,3.02
20-06-2022 08:00,12.91,0,142.0,0,2.9
20-06-2022 09:00,13.14,0,242.0,0,2.78
20-06-2022 10:00,13.34,0,367.0,0,2.31
20-06-2022 11:00,13.83,0,487.0,0,1.12
20-06-2022 12:00,13.64,0,515.0,0,1.19
20-06-2022 13:00,13.34,0,545.0,0,1.41
20-06-2022 14:00,13.88,0,519.0,0,2.92
20-06-2022 15:00,14.32,0,466.0,0,3.36
20-06-2022 16:00,13.96,0,354.0,0,4.13
20-06-2022 17:00,14.09,0,237.0,0,4.78
20-06-2022 18:00,13.97,0,126.0,0,4.87
20-06-2022 19:00,13.5,0,61.0,0,4.51
20-06-2022 20:00,13.36,0,24.0,0,4.15
20-06-2022 21:00,13.32,0,0.0,0,3.85
20-06-2022 22:00,12.98,0,0.0,0,3.43
20-06-2022 23:00,12.64,0,0.0,0,4.65
21-06-2022 00:00,12.47,0,0.0,0,4.08
21-06-2022 01:00,12.32,0,0.0,0,5.29
21-06-2022 02:00,12.54,0,0.0,0,6.26
21-06-2022 03:00,12.53,0,0.0,0,6.16
21-06-2022 04:00,12.55,0,0.0,0,6.13
21-06-2022 05:00,12.73,0,0.0,0,6.66
21-06-2022 06:00,12.79,0,25.0,0,7.2
21-06-2022 07:00,13.14,0,65.0,0,6.64
21-06-2022 08:00,13.36,0,138.0,0,6.35
21-06-2022 09:00,13.62,0,248.0,0,7.28
21-06-2022 10:00,14.4,0,376.0,0,7.48
21-06-2022 11:00,14.92,0,499.0,0,7.97
21-06-2022 12:00,15.31,0,612.0,0,8.23
21-06-2022 13:00,15.66,0,647.0,0,8.25
21-06-2022 14:00,15.73,0,616.0,0,8.66
21-06-2022 15:00,15.77,0,518.0,0,8.6
21-06-2022 16:00,15.78,0,393.0,0,9.39
21-06-2022 17:00,15.8,0,262.0,0,9.78
21-06-2022 18:00,15.85,0,142.0,0,9.53
21-06-2022 19:00,15.54,0,67.0,0,9.21
